0:0:0:0:0:0:0:1 - - [12/Jun/2019:09:55:27 +0900] "GET /ongjooProject/www/member/memberList.jsp HTTP/1.1" 200 4287
0:0:0:0:0:0:0:1 - - [12/Jun/2019:09:56:50 +0900] "GET /ongjooProject/www/member/memberList.jsp HTTP/1.1" 200 4839
0:0:0:0:0:0:0:1 - - [12/Jun/2019:10:25:08 +0900] "GET /ongjooProject/www/index.jsp HTTP/1.1" 200 896
0:0:0:0:0:0:0:1 - - [12/Jun/2019:10:25:08 +0900] "GET /ongjooProject/www/head.jsp HTTP/1.1" 200 898
0:0:0:0:0:0:0:1 - - [12/Jun/2019:10:25:08 +0900] "GET /ongjooProject/www/main.jsp HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [12/Jun/2019:10:25:08 +0900] "GET /ongjooProject/www/left.jsp HTTP/1.1" 200 1206
0:0:0:0:0:0:0:1 - - [12/Jun/2019:10:25:08 +0900] "GET /ongjooProject/www/copy.jsp HTTP/1.1" 200 425
0:0:0:0:0:0:0:1 - - [12/Jun/2019:10:25:10 +0900] "GET /ongjooProject/www/member/logout.jsp HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [12/Jun/2019:10:25:12 +0900] "GET /ongjooProject/www/index.jsp HTTP/1.1" 200 896
0:0:0:0:0:0:0:1 - - [12/Jun/2019:10:25:12 +0900] "GET /ongjooProject/www/left.jsp HTTP/1.1" 200 1666
0:0:0:0:0:0:0:1 - - [12/Jun/2019:10:25:12 +0900] "GET /ongjooProject/www/head.jsp HTTP/1.1" 200 892
0:0:0:0:0:0:0:1 - - [12/Jun/2019:10:25:12 +0900] "GET /ongjooProject/www/left.jsp HTTP/1.1" 200 1666
0:0:0:0:0:0:0:1 - - [12/Jun/2019:10:25:12 +0900] "GET /ongjooProject/www/main.jsp HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [12/Jun/2019:10:25:12 +0900] "GET /ongjooProject/www/copy.jsp HTTP/1.1" 200 425
0:0:0:0:0:0:0:1 - - [12/Jun/2019:10:29:12 +0900] "POST /ongjooProject/www/member/loginProc.jsp HTTP/1.1" 200 145
0:0:0:0:0:0:0:1 - - [12/Jun/2019:10:29:14 +0900] "GET /ongjooProject/www/index.jsp HTTP/1.1" 200 896
0:0:0:0:0:0:0:1 - - [12/Jun/2019:10:29:14 +0900] "GET /ongjooProject/www/left.jsp HTTP/1.1" 200 1180
0:0:0:0:0:0:0:1 - - [12/Jun/2019:10:29:14 +0900] "GET /ongjooProject/www/left.jsp HTTP/1.1" 200 1180
0:0:0:0:0:0:0:1 - - [12/Jun/2019:10:29:14 +0900] "GET /ongjooProject/www/head.jsp HTTP/1.1" 200 898
0:0:0:0:0:0:0:1 - - [12/Jun/2019:10:29:14 +0900] "GET /ongjooProject/www/main.jsp HTTP/1.1" 200 303
